gene_id	logFC	logCPM	LR	PValue	FDR
CHST3	2.09937264508434	6.49846036310463	37.2094037802503	1.06100899536471e-09	1.25212419479956e-08
MLLT3	2.10099450044087	4.49178698290382	20.9584070436503	4.69363540365661e-06	2.95701283735889e-05
PPM1D	2.10134077470418	5.36327286060447	30.3935961523531	3.52690560138177e-08	3.31069972867904e-07
SSH2	2.10525285429963	7.42295817580896	24.1822051367545	8.7638303547446e-07	6.42860512830147e-06
LOC101089263	2.10603578354149	7.06184624034731	26.0979208877449	3.24533284837897e-07	2.55173774531319e-06
RNF44	2.10741341803685	5.86036695669531	14.8988566740223	0.000113431712065005	0.000528046951908147
SRSF5	2.10777603366895	7.33869414246023	26.7682507502448	2.29375092610395e-07	1.85008564248692e-06
OGFRL1	2.10839543586061	8.0212104234947	15.3524505548034	8.92051497020483e-05	0.00042460615870148
NAP1L1	2.11100969326628	9.62413727203429	24.3910472068597	7.86332741027547e-07	5.81354623127014e-06
TRAF5	2.11459683032229	6.34780340857023	27.8503580167829	1.31069813659926e-07	1.10683987429807e-06
GLUL	2.11863693490985	8.59303751135614	11.4204489704434	0.00072640139539405	0.00276707271749089
STIM1	2.11898381848588	5.82875976851417	16.1354148274217	5.89709358096929e-05	0.00029269122187239
RSBN1	2.11966801126421	6.37665738028384	37.2244513314677	1.05285343918635e-09	1.24361797321714e-08
OAS3	2.12242767524393	5.75389975041826	15.8973939774802	6.68707302349127e-05	0.000327686554470784
GNB5	2.12304836388576	5.49757085649672	26.3616472058696	2.83106531450171e-07	2.2530060716923e-06
DOT1L	2.1238582637056	6.16409698317765	16.8904408603653	3.96005111781013e-05	0.000205406129719456
AASS	2.1266187404334	4.53906948081797	13.0923526573281	0.000296503731177612	0.00124524410778983
MOB3A	2.13274079338223	6.51747334696921	31.6570716366051	1.8394356888182e-08	1.78519139286856e-07
GMIP	2.13549704987549	5.93728091618965	13.8547897812284	0.000197492709598497	0.000868240143404045
RASSF4	2.13640337204404	5.22295946394446	15.4758484831981	8.35662184219096e-05	0.000400379512358788
SMC6	2.13714459155141	6.78934440406686	24.3979223454832	7.83531497481514e-07	5.79937046895088e-06
LOC101100417	2.14002193288525	5.70601913618115	34.0338311241939	5.41621128565304e-09	5.73570640519097e-08
SETX	2.14376860759918	8.73355326886777	25.6765945003697	4.03693593672322e-07	3.13101124690418e-06
ANKRD16	2.14692346534269	4.51453102100556	32.1194588327255	1.44977925038352e-08	1.42726579915851e-07
LOC101088449	2.14830926582589	5.29070266108111	11.271751725633	0.0007869543411912	0.00296503066880623
RHOF	2.14896305633707	5.02967305529555	13.5093866683332	0.000237373109329969	0.00102739027497928
NOD2	2.15274648995853	5.57157952670766	35.291379579468	2.83885823709716e-09	3.14648113559341e-08
NFATC3	2.15490289987845	7.36570521868248	27.1013386258017	1.93064207847366e-07	1.58253301293478e-06
RBL1	2.15910936860458	5.69721804889913	23.1248844092529	1.51813208683349e-06	1.06083319358445e-05
SHMT1	2.15975586911303	4.04313406468756	9.07346358989481	0.00259345381081534	0.00841381813580463
APMAP	2.1663893072622	8.19428270674147	20.7166489567463	5.32509830356707e-06	3.3197750611739e-05
IRAK2	2.16678934321048	4.29650844340489	9.77807292334363	0.00176605313509603	0.00603539460725657
MICU3	2.16831053317529	5.1851345599496	40.6891845851229	1.78472247095558e-10	2.34678486837175e-09
PTPN4	2.16936992127969	6.07662454312739	33.3533980188324	7.68434361061315e-09	7.86596265226804e-08
