genes	DC1MINUS	DC2MINUES	DC2PLUS	DC4MINUS	DC4PLUS	X2654MINUS	X2654PLUS
GRK3	3.281910246705587	1.5057934288668797	1.8105926687787866	3.1974354894906782	3.423317749540048	2.826460182542192	2.941910457731497
KIAA1671	4.516033798870215	5.762769479035097	5.719337978978257	4.023984666644465	3.9431900270326024	5.787564148193869	5.657586574526664
SGSM1	2.447471984280221	2.485552747598894	2.7045949294339913	2.2542176221754917	2.3738762467421073	2.7156182829914286	2.392330371841359
LOC101100421	3.7674011003311776	3.5574931276089803	3.3716679857292986	3.60800138486593	3.6282638619826963	3.9529309186712176	3.9426518777053516
DGCR6L	5.229376469354152	5.4385634920079005	5.683929353539139	5.244770370995183	5.116375267785725	5.842817983449779	5.700088881233862
RTN4R	1.5233490587078349	2.261618142252012	2.4987559367402725	1.5966033672155693	1.6257775252664248	2.3372336643916456	1.765546899755344
ZDHHC8	2.413515137982675	2.3618737068301976	2.5890285396699575	2.0411855260861196	2.222245928104764	3.23645145844837	2.9235129126369843
RANBP1	5.530674811296915	5.074922920348968	5.171308514835018	5.619404475006609	5.683133397167682	5.329102528580857	5.329326688229229
TRMT2A	4.497243697951043	4.758753548687124	4.732883013543638	4.607741047412492	4.336905597478923	4.715300722432862	4.484593198873594
DGCR8	5.1318104015028165	4.8168244810494665	4.896498241097347	5.147420459307589	5.011060250796356	4.8320824419080495	4.833969465655134
TANGO2	5.109006461568493	5.605784169277707	5.6903163955100995	4.654343712309281	4.657430300672283	5.638551789551049	5.508184318573527
ARVCF	2.7938820119543557	3.9535379246033195	4.111443778524744	2.7361163071374612	2.7015189922275007	3.23645145844837	3.3249758002506904
COMT	5.4727688072286185	5.819703133341041	5.887750096434205	5.453227958504267	5.441306588683608	6.071330000719388	5.915547764624669
TXNRD2	4.662970432032285	3.9246876553942016	3.8167613469090225	4.275073733225151	4.039593143128586	4.112137765686715	4.1308148177294735
RTL10	2.544795246425774	2.5245301056663023	2.083307001366085	2.2542176221754917	1.9915684566790224	1.8696654520507472	2.207001372685729
GNB1L	2.191054528461499	2.340189019123911	2.5890285396699575	2.7202728838150554	2.3167871395643234	2.286429138101282	2.3377990880665562
LOC109493299	3.2177697229968927	3.33436732761576	3.421659385756969	3.603689950760267	3.5631306148626827	3.489488725773038	3.192955226027572
TBX1	-1.1086166774643749	2.6085597150530204	2.555834715568895	-2.7375646730002026	-3.8465567019397158	-1.8681414191080283	-4.61583311242201
GP1BB	2.9362054142718295	1.6181751189394826	1.8105926687787866	1.8062421649686808	1.3285490089975551	0.8394324066838016	1.5425956744924352
5-Sep	5.969939234238252	4.689698250456706	4.805287041558925	4.890333688556373	4.873610661410992	4.7594329423906405	4.723989353479737
UFD1	5.137022052308923	4.789081917530797	4.830950394516506	5.14593867608495	5.20893047883733	5.316496982338258	5.270493975705856
LOC101098170	5.169599038836261	5.332733414922925	5.47932753646159	5.355327742791233	5.189753216657681	5.4552085789536084	5.334558034166603
MRPL40	4.682112079459153	4.582958418729812	4.545494564227885	4.7274976590746824	4.789186076570464	4.649816557175407	4.750324434576959
CLTCL1	3.7538953306898635	3.754791649849949	3.862726449833007	3.9647038555273433	3.587470521633506	4.016659929220281	3.8531428308278897
SLC25A1	5.800739829920747	5.886680935393803	6.056452596295981	6.043722818755927	5.869065399654236	5.964962961241318	5.943207692744801
ESS2	4.334381689236144	4.499825902825342	4.553924926284498	4.592591571086237	4.4225069306806715	4.7216885826552595	4.490854393285377
DGCR2	5.58253093608958	5.896000319820452	6.061388624607861	5.8955270529104835	5.645540223149072	6.073828824184463	6.004663517816568
ZNF74	1.217066695310644	2.4147009375757382	2.2722704960580984	1.6138563699812174	1.3119507889059565	1.2462255582716013	0.8427243691226417
SCARF2	6.3944459268045435	7.025596221954192	7.199038705466044	6.000922220313799	5.643883304639223	6.211820278700528	6.346831277068553
KLHL22	5.3146404220075665	5.60351053185641	5.744108137648722	5.624733502665736	5.351780636743671	5.90167066408601	5.636562562694818
LOC101099909	4.349426690276959	4.006124735547588	4.200049801267181	4.532620635951394	4.1765421718492854	4.467993115160442	4.4814523821692855
SMPD4	4.665377073138119	4.432253337744837	4.502587590738387	4.525800669985621	4.526876904075615	4.460373894731916	4.332533536480442
MZT2B	5.704559563748498	5.500970088436398	5.6436857985419575	5.7875343847749106	5.606090506490606	5.722166949541099	5.746616981832046
LOC105260067	-1.5698119531517327	2.023885983913195	1.9533842024001284	-1.7588906589049862	-2.0475813378476677	-1.356617171290594	-1.3899522264640403
THAP7	3.101726306558229	3.0768763125173373	3.2032475765522963	3.0340197974984933	2.994589839683931	2.861592554071231	3.1697276239296426
LZTR1	5.987356704608536	5.97814951460164	6.115548242754113	6.022884928126762	5.904093858674463	6.275077322229109	6.139296369734541
CRKL	6.176394748286397	6.295848154262113	6.258229107315817	6.2632568882133635	6.33625998355071	6.4583679122233795	6.314543896484152
SNAP29	5.299226278570412	5.259531878676482	5.105923532404397	5.492234201238192	5.512040204821215	5.600930479493043	5.526585552567828
PI4KA	6.902702520721092	7.072380537230784	7.060948022220838	7.051610076223968	7.15083275295495	7.340510172863405	7.138380478589222
HIC2	1.9596459663016912	1.722431716977437	1.693385197904778	2.2320425058207682	2.0824485532502397	1.0969758187878362	0.9189990892160795
UBE2L3	6.1143324554183165	6.1161265264377755	6.207476942069279	6.112097971114023	6.209255632917254	6.269638108559869	6.286024827616763
YDJC	2.802654126446406	3.159679449945893	3.3716679857292986	3.1089426131063647	3.0754853593952234	3.2094338638031434	3.4329731078046337
CCDC116	0.7572834343185114	-0.17734996449089135	-0.7655769189194936	-0.07340195026515413	0.4761836361399145	0.6380316560459769	0.38580283480872546
SDF2L1	3.8543460974572743	4.023236171054867	4.464340521361987	4.043215717086835	3.9672390809880342	4.673075631550151	4.43024649937819
LOC101086852	1.3665365392220068	2.543630872827337	2.962751307322129	1.5614657657181852	1.6257775252664248	0.5257018143523541	1.5900275897230038
PPIL2	5.112538306958566	5.124922739910938	5.145509021669552	5.246154090717377	4.981190248750263	5.117719434761036	5.2091597069558935
YPEL1	0.5644541285500188	1.1792984550348156	1.034244506386304	1.371665777358047	1.2259683881187255	1.7989306388203432	1.566506552482402
MAPK1	8.232473769696822	8.305463447631865	8.304410804225048	8.283215875315989	8.224820122054314	8.272333295334182	8.339366298253205
PPM1F	6.441541876691578	6.153129542881352	6.339310396050033	6.422885370787181	6.3025253928949345	6.338796899876212	6.32070799835005
TOP3B	4.349426690276959	4.494927633014535	4.656652380059497	4.2777824053182165	4.185681576606044	4.30314098302684	4.056779994093884
ZNF70	3.9678864474595374	3.98880790714755	4.099975372236458	4.280486001385404	4.338955114563066	3.857539101555057	3.5575076920436914
CHCHD10	4.076760047379326	3.5807957061562186	3.862726449833007	3.988047815079667	3.7595318234346284	5.314385308085559	5.351860109657971
MMP11	2.3431053539742597	3.9992229267939066	4.228415743424098	3.629367379345076	3.608011369989909	3.218496063231816	2.8954690801570004
SMARCB1	5.7697596765074275	5.762769479035097	5.769667055473003	5.871520420148381	5.924709836227681	5.720573162970764	5.517414273295186
MIF	6.20314360073258	6.207287580237907	6.40135787905225	6.387584468856132	6.252844574389347	6.45549630440698	6.39185709391991
RNMT	6.433092539554608	6.4186150257548595	6.285484421950611	6.390715833884385	6.499534110483509	6.17853995721939	6.281517353385728
FAM210A	3.6113916275587084	3.8071033904679523	3.550822709689418	3.762962878958158	3.6382844823475566	3.396728530616153	3.5273672807689698
LDLRAD4	6.486468516474447	6.399084218689424	6.391984086490412	6.417368649299599	6.223747250192205	6.309410949898921	6.216887776373324
CEP192	5.520076105299152	5.508280665472363	5.378515580244075	5.435143109455935	5.523799505511458	5.050801249968586	5.265024641753688
SEH1L	4.570978894947749	4.480132241730608	4.3909508489408315	4.633347109953273	4.642572675491497	4.365659262366654	4.446444433032599
PTPN2	4.682112079459153	4.4245461167305	4.409651223392028	4.641782455668926	4.761948036138156	4.349250827189998	4.557991630134261
PSMG2	4.390736682498776	4.499825902825342	4.346350261557034	4.404638471729048	4.501483700854134	4.328474314245426	4.5001955282212345
CEP76	2.294180940261992	2.0508369902752164	2.129162126908383	2.487382417339086	2.588916624596708	1.9588871304748336	1.8062819972009438
SPIRE1	6.345010083527569	6.657625746315745	6.643755557984338	6.568811478531777	6.5969482292087696	6.899770758480355	6.831188222523337
PRELID3A	1.7213856455653664	2.404289109060032	2.439325534431141	2.3602515990991404	2.474254158121667	1.9588871304748336	2.207001372685729
AFG3L2	5.578705726811328	5.927243350882482	5.908716758266806	5.704408020638381	5.777582307713434	5.863185101871027	5.538723931248357
TUBB6	7.466609299545386	7.270611618589381	7.240540261190651	8.128816649945929	8.168743122696744	8.165683750820428	8.102072961537987
CIDEA	-0.1734944115363147	0.2979672784771451	-0.13994408252372564	0.5457467249952777	0.7221356700657263	0.4660771886175863	0.8813657472833953
LOC109493312	-0.04203613738568194	-0.11611540948259287	-0.29280140756863515	0.3537227540782837	0.6447187673862645	0.8394324066838016	0.6768945993714865
MPPE1	3.9122329399782183	4.328697371430066	4.228415743424098	3.9237852916580547	3.993498333889732	3.891931589268227	3.5455269833672975
GNAL	4.6677797062749455	3.356139037808335	3.487686051252976	4.605586551888054	4.757357943101853	3.7739503455745993	3.666620919855868
CHMP1B	5.149109851415197	5.414122738639375	5.370583382270421	5.232256806237698	5.486382162057768	5.5389799136142	5.404214644379502
PIEZO2	6.399514462175444	6.216987341538244	6.327885595731414	6.806828807257528	6.947247194979175	5.014841154435762	4.924639165283161
NAPG	5.335947235078975	5.246476561858113	5.381676288040545	5.51307404233253	5.402636997470628	5.439792959663138	5.511267535986122
APCDD1	2.355081545896324	-0.37838642098109865	-1.8949556252012332	2.50598358191248	2.357794282085651	3.191136885166598	2.817905815002471
VAPA	7.408174997538572	7.214731001276604	7.159533906735863	7.345561525232182	7.416711988467038	7.234500621538707	7.341714591750815
LOC109493320	2.036025737425252	0.9693247300461391	0.8272695591482225	0.7151884582599525	0.7221356700657263	0.7422436335174083	0.9556756537742584
RAB31	8.434875799285635	8.790337460244162	8.755839578573367	8.495023528737455	8.705551866257371	8.220839583364523	7.97718884038866
PPP4R1	6.15343311635007	6.164741994149856	6.1334713927283415	6.529008474243012	6.6691832373221605	5.995597415369352	6.031755393256429
RALBP1	5.520076105299152	5.743281116771143	5.671069809130774	6.301692893359724	6.505476930428256	6.013930906486297	5.998085058287719
TWSG1	7.105070271498903	7.32026065213247	7.121755022017453	7.434122771503446	7.5008116831588625	7.320658892236147	7.434774261435848
ANKRD12	6.325360343957454	6.258763670218213	6.021419283339195	6.422273442448456	6.432974298123158	6.289124047333005	6.265172834355574
NDUFV2	6.070515252916547	5.932687271532151	5.850594024775174	6.234962714179383	6.265830120440226	6.180859963096143	6.301245747947122
LOC102902427	0.4350329252953327	0.10573148276591848	0.4475780823980273	0.17927690990351985	0.285323568937243	0.0449341056235417	0.7621908249271697
MTCL1	6.0102576477753376	6.074049812874945	6.080965570606335	6.388837830579456	6.177539548339798	5.6964526368944775	5.645008968139784
RAB12	6.554913326383258	6.607450921856225	6.540778781135426	6.399447669698897	6.438241502392823	5.994278921962912	6.161053342299425
PTPRM	7.891191438593219	8.097022315790786	8.113248842295175	7.689390281006127	7.633430193538759	7.8000314407690015	7.730332552383614
LAMA1	0.6051370545973791	-0.8909984326526914	-0.13994408252372564	0.31204868236073663	0.5629108305535439	-2.667902100167122	-3.482464161504927
ARHGAP28	5.76640057129331	3.853763439307231	3.669366404369474	4.9201127840377525	4.853680070533731	2.102865524417146	2.5324612933004826
EPB41L3	5.6809656253120995	5.4244640927435555	5.392684550685279	5.655259606579818	5.836795728956136	5.4799128732856035	5.297533884405708
ZBTB14	3.565743229573756	3.4802900761356415	3.2999726817217194	3.4148155812726286	3.6679353860105235	3.045971209317272	3.0728865344397907
LOC102899787	4.334381689236144	3.5945987017727914	3.3843291720254567	4.2696410844677	4.330739518631094	2.17911576667013	2.1762514881682673
TGIF1	4.499943027949913	4.507142265416907	4.496769020850701	4.624862153094895	4.602187616420416	3.9691290280116975	4.031232672435564
LOC101085247	6.680986868334987	6.989049266535197	6.895015853274682	6.48982933934126	6.537954979650368	7.3909805948671234	7.418444021560267
LOC101085837	8.402241769810432	8.430978830926282	8.40879741747841	8.455944177150942	8.552460899777437	8.912722684539824	8.911926690999582
MYOM1	1.8623096685228981	2.3618737068301976	2.285830522334627	1.3305142198974036	1.598663398577291	2.0831561989855953	1.903355134443392
LPIN2	5.340472326884034	5.425751565431559	5.4555273647272635	5.168007190833288	5.205564726402886	5.370342883525052	5.443481300047035
EMILIN2	7.904240727385078	7.903599615289714	7.903590983345677	7.964742930563395	8.006242245002882	8.279657738131112	8.140662554003532
SMCHD1	5.080436046216972	5.060076237123371	5.009101013591821	5.240611231031898	5.312686940818163	5.107999366495641	4.915358930589567
NDC80	0.7207244934927691	-2.6821131983485897	-2.4929477044118884	0.22490539198528678	0.3189389730197958	-1.8681414191080283	-2.086058015707509
METTL4	1.5019640905923513	1.6712449781657237	1.4740218048897837	1.6971558522689485	1.6391458579825633	1.173529852167568	0.9189990892160795
YES1	6.15343311635007	6.319590277427759	6.222538430995928	6.120421434458095	6.215962164294085	5.874695647951616	5.8694376634481795
ENOSF1	3.5397446742180594	3.98880790714755	3.8536498411275075	3.6208589148376102	3.731722631248375	3.9474908803238247	3.80370315650598
TYMS	4.922401707751921	4.985208242730977	4.871984534057001	4.211327959647236	4.223890798734705	3.711132556852646	3.9964502520436778
COLEC12	6.209754034094974	6.595488036318605	6.500639492549413	5.882239382269409	5.927436508118036	7.7954966800681085	7.741206350770984
THOC1	4.288281766631396	4.350554169119337	4.276752448764039	4.280486001385404	4.579830991971503	4.107267078036194	4.122773864056552
USP14	5.1178199160136675	5.123336600079647	5.057336415397514	5.313700682391124	5.5567530155204565	5.6570008322470615	5.5730634292854955
ROCK1	7.44925634270395	7.551326516154183	7.332019567716296	7.308291669350671	7.322234129782786	7.712938774865077	7.794695294346937
GREB1L	2.4696738311815016	3.0570736031964727	2.8846990880211956	2.1750660452226613	2.23990247465244	1.4446205020169631	2.046246257872838
ESCO1	5.675006353662523	5.780992423256137	5.658094608762351	5.721420883938924	5.795602906045412	5.498632423959136	5.584818553218604
SNRPD1	4.358378952518286	4.112286369327303	4.245865350464719	4.399673252352764	4.673761276533035	4.121830085012207	4.197411771496707
ABHD3	4.408085167985099	5.329985590194181	5.312146581815003	5.60005532449048	5.736970969095126	3.9032159370843433	3.9426518777053516
MIB1	7.916920577855631	8.208561397137643	8.090732077710534	8.418694157042077	8.408633544871442	7.184506574580013	7.272533652269785
GATA6	2.555214549668071	3.350726834921952	3.0606572994276924	2.139767823060448	2.1771353719839883	-1.5898262047702985	-2.4201351669159195
RBBP8	3.288170207296279	3.356139037808335	3.1743774140817473	3.500795046167051	3.549035476747453	2.6093919545359103	2.392330371841359
CABLES1	4.130006748741099	4.944469634450675	4.990588689251939	3.994648723157561	4.081815105393485	4.332653622299512	4.150723287385177
TMEM241	4.025225049620693	4.689698250456706	4.742749420945065	3.902882408158632	3.9458820267472725	4.164657327895735	4.102473193317359
RIOK3	6.285239268992498	6.23985772068072	6.171405297742473	6.135433060737606	6.317154030637516	6.248780028596418	6.248641021794537
RMC1	5.494587654125819	5.773933048298979	5.81713254689125	5.425404353008003	5.594127931502015	5.551584672495692	5.529629735201084
NPC1	7.0723462005533735	7.711649512572594	7.61889512952317	6.906454467137723	6.858596142466599	7.2350588969061524	7.051566769385299
ANKRD29	4.422384563518014	4.70674494030702	4.730405832538994	3.8923162869187395	3.728599370085032	5.810220006917709	5.8742353060102666
