gene_id	4438	4460	4474	4501	4510	4520	DC1MINUS	DC1PLUS	DC2MINUES	DC2PLUS	DC4MINUS	DC4PLUS	X2654MINUS	X2654PLUS
SMC4	7.005496371827036	6.925029734046266	6.995232506781157	6.65063837161015	6.211128181465866	7.010962211003956	5.059276269645906	5.34795347433653	4.628089932562849	4.619914845778382	4.8821231333503565	4.988325057268865	4.766991582553641	4.8547076535364075
IFT80	3.1091777073240037	3.317206830451676	3.196282610467762	2.9271031931679343	3.2861956579602687	3.563015273923961	4.32634487422505	4.241431483954999	4.64030304178297	4.441481845403845	4.176304598405827	4.698016881945577	4.7360936028491505	4.46313514008286
LOC102901165	5.243191309108712	5.1069158519828965	5.078833439906579	4.35137558490884	4.205446235578014	5.058148520623762	0.9549377518754628	1.2759124649881501	2.336621424180719	2.410694330217227	1.4226655371177066	1.3556932296081574	0.013446477769423352	1.732864702725726e-4
LOC101094201	-2.9822786094513347	-3.452831174823122	-3.488790258564139	-2.4128673291592904	0.8371229933180685	-3.278131441670983	5.337844508307505	5.408981371669092	5.702036299585566	5.638997138040387	5.962590213230708	5.85164932946097	6.223572845521201	6.380612263001144
LOC111562280	1.5466117964705401	0.9400568972608804	1.6327080420240816	1.9361453199075764	2.7468932820080503	0.5701289638243958	0.7327568360418916	0.44089573396641885	0.6812127997497593	0.6354161220945085	-0.46193418185419144	-0.4831745501748693	-0.5377401443689747	-0.7936685266549994
MFSD1	3.8845491392567877	3.662745380794155	4.274766897875679	3.8333005256388177	3.7417454369461507	3.6608115912298764	4.775759577704669	4.824135901685077	5.070380314151642	5.005237540361231	4.679180649289404	4.889666788886245	5.154816899393129	4.983333933417102
RARRES1	-0.19357231445693962	0.9400568972608804	-0.06566404522246537	-0.41959606260259985	0.7150984869745398	-0.4921295643340208	6.5400875405472325	6.469420101137093	6.533424381245402	6.501960246092305	5.707874657341797	5.88927667406188	4.406114908110372	4.6357860284322285
GFM1	5.183498673393728	5.583416950363831	5.1955079028002	4.784008292499993	4.852032552287737	5.173098190955998	5.626143221864481	5.530201547301775	5.890723352497735	5.857033975214459	5.853344455084144	5.902371136691102	5.7031958094402375	5.5358390877447645
LXN	4.428939610494988	5.774408557166743	4.795637248203906	3.9091827915999966	3.4859742902050104	4.7138311691967685	6.185265942883697	6.225339837238029	6.255532410650686	6.233155022560461	6.053783379647223	6.226520524574419	5.525873275519198	5.576394062368042
LOC101084215	2.008436881891761	2.763697341211837	2.531754481693012	1.909518377497323	1.485790057671468	2.548542677362922	2.7215950115535743	3.0768362348925273	2.8554968961420695	2.7163193911857793	2.8537333323073044	2.6865086365292496	3.0998867961303467	3.3210725988762717
LOC109491416	0.3867319775363923	0.007145159410796262	0.6547858909972186	1.768472022855146	0.9496266066173358	0.13463570016245333	-2.1060904793675554	-2.5513364676858235	-2.210899141729751	-3.3510024729851686	-2.577763160752314	-2.514755487443039	-1.4409126804489425	-1.678776868621864
RSRC1	3.691472719477345	4.212423962042181	4.296133357556453	3.9684303680028674	3.6940907342028586	4.040972907376141	3.38176565055427	3.4561521944030176	3.4895184776815804	3.516007375556969	3.596424394569682	3.6882735095702506	4.101256197577626	4.016498723869685
