genes	4438	4460	4474	4501	4510	4520	DC1MINUS	DC2MINUES	DC2PLUS	DC4MINUS	DC4PLUS	X2654MINUS	X2654PLUS
SRPRA	6.332509372301313	6.644919296888331	6.460819762256917	6.285732414458056	6.107989141589425	6.482966712524224	6.969445200948259	6.9541193915303285	6.954101278735819	6.9560132989162655	6.916235447642079	6.981966306845117	6.894881487179532
FOXRED1	4.968886853002761	4.871894783777113	4.904168282868631	4.864021126650495	4.386852061190485	5.070327654423786	4.216221180579829	4.016764389690991	3.9626963508478297	3.9480339851439155	3.8161137554249156	3.6239374544249876	3.7255041642476576
TIRAP	2.8910756056402707	2.6419390704398653	2.6080563816172364	3.279936546248434	3.1690966788634576	2.4198018920597097	2.153480624471447	2.455071461334569	2.140066820298579	2.4725101089976036	2.1715327818260977	2.2447752421854106	2.328851238038275
DCPS	4.395646622836222	4.457686641744689	4.552242136296236	4.354637694799391	4.165040085455624	4.422655729578964	4.018653406269083	3.987562429115048	4.095286797660999	4.35014983355556	4.238433273131107	4.10457318582737	3.9188584630774685
ST3GAL4	6.25981401420721	6.160953558347312	6.179134028827658	6.246700571590248	5.842963695829009	6.3429360124575265	5.118720709620154	5.476616069665696	5.654013255178126	5.7916154390586225	5.694768695716193	6.261950190894423	6.366295208119802
ETS1	9.237240731596325	9.249262957340273	9.17076616297804	9.034333775947937	8.43200512540823	9.378191906488546	6.137122413555215	5.709061007739776	5.755762660377731	6.375137033219867	6.478011012634758	5.732630283605293	5.833281722161364
LOC109491885	5.880200145287269	4.833893286516709	5.6303318625772185	6.139980913898937	5.770652956017394	5.0923631517908685	-0.07679332474050482	-0.6023679880690009	-0.9033107383654768	0.2213335266837356	-0.24506012610445865	-0.4556115147066845	0.23699058249666957
FLI1	7.453007740124907	7.316025563655977	7.43482173433049	7.955823482522453	7.343863755909427	7.408195900609697	1.0807313559326361	-1.0101456535442526	-0.7782516981710529	-0.42901919138982386	-0.41071646397632794	0.21548434752222503	0.6678653244414618
ARHGAP32	-0.26303515801782185	-0.3009384918159611	-0.11844420477114061	-0.04871740562536125	2.3607854634111902	-0.1667781704281878	3.062428610790945	3.6667823966351842	3.3934246359854723	3.4809158603860517	3.6542349838708006	2.6653484899589808	2.8537593880861296
TMEM45B	2.943831826022167	1.9088419867593445	2.425260822764614	3.0084802586360233	2.8907238140161393	2.088175170497173	0.6150729205583549	-0.08546663341013136	-0.556601054588429	0.070986917090095	0.5094186789889719	-0.23006087331472846	0.2984299424560444
NFRKB	5.858609263706666	5.585168161906802	5.628922353311418	5.897455810716422	5.619312982941763	5.589239649590607	4.061942371926295	3.777559226364609	3.921803901667498	4.065359078337678	3.8439685296036594	3.856793159807711	3.7695618405333255
PRDM10	3.652559630420502	3.108830508551767	3.431455851299174	4.069830984303496	4.165040085455624	3.1123005727183455	2.109143556804216	2.1068936906036027	2.0073777966219444	2.4216388859133877	2.737957034949251	2.2258714114682454	2.428401480051738
APLP2	6.578948343797822	6.2434728244318896	5.617596427875795	4.963665077436941	6.2477292488381915	6.236884960604709	8.921057606558477	9.346837067189272	9.343687039351236	8.827818641282578	8.758704089980645	9.891640666459057	9.912112990109618
ZBTB44	7.254560713817651	6.691705833510558	6.587403649537941	7.706528525228652	7.208428360275482	6.65569450539504	4.046350802961393	4.482182845516438	4.053832353347533	4.104590622542998	4.0359791100950195	4.435971518600181	4.603057979546382
ADAMTS15	0.15006884103510584	0.3430679535287026	0.15660665803699225	0.4681012053363181	1.5142860319628721	0.6797548692296252	3.1452673264804023	5.306731440988701	5.273715266131334	5.313906079260571	5.23065195978696	4.6353765293487	4.317931204352782
SNX19	5.963470599401295	6.130971615885941	5.953374105577163	5.818737022149989	5.66988793468288	6.055287139949298	5.925442832970805	6.147323091433178	6.12047318158551	6.038649607586703	6.049355729072101	6.190622129528014	6.005513515646375
NTM	-2.8098620563850227	-4.307213091646911	-4.307213091646911	-1.3819254149124442	0.14115248559535884	-3.1183838281631453	0.8842563837533229	2.9773708394974636	2.73007367821541	0.7361908569223881	1.1681637420333688	2.5786034369362896	2.5845416005297652
