genes	DC1MINUS	DC2MINUES	DC4MINUS	X2654MINUS
CASP8AP2	4.843118636541242	4.568798097014157	4.658184720616696	4.437620322563608
BACH2	0.7557621362841304	0.4643495194108438	0.39755340920893917	-1.5828642649950855
MAP3K7	7.073515363493269	7.004389387022547	6.871811038157772	7.160869706763297
MANEA	5.9543428110891705	5.948405458497517	5.490451669791546	5.704825899590454
UFL1	6.013039945447145	5.461409537007231	5.861526868949228	5.424508233586316
GPR63	1.291779972364738	2.8683428352549374	2.7769696522553065	1.8933410519041443
NDUFAF4	4.343623533993935	4.538281522809047	4.371294678405166	4.578040046663074
KLHL32	0.38806315296789634	0.7854132361286572	0.22843801452494342	-0.4307314788726614
MMS22L	3.897258230670506	4.18524291437296	3.330508208759836	3.1063064695858285
FBXL4	3.7735850062767917	4.273399298262871	3.883491607056363	3.9478811469482724
FAXC	3.800056964010804	3.937944862047548	4.532116831641869	3.7115486267155866
COQ3	3.5630202123987362	3.571369757534278	3.32527464532463	3.584105913124069
PNISR	5.245903386789171	5.157543201842781	5.307486887377236	4.65015095587178
USP45	5.290151458046768	5.166780342653992	5.238169558623564	5.165668695007847
CCNC	5.88596552029667	5.821584306887055	6.054944263424641	5.673859516162339
SIM1	-4.56176633144625	1.6495507351390233	-1.9384230752131395	-4.56176633144625
ASCC3	6.086568834084859	6.348838827933494	6.242227825114214	5.961199987832077
HACE1	6.035494750652709	5.888250586363117	5.883948044520801	5.615015684022203
BVES	4.13763546579535	-0.11845429892040908	3.426500255259145	0.047345745355754094
PREP	4.430909379515883	4.554793689535063	4.746973808726218	4.50953791911179
PRDM1	0.433862286905582	1.1257218546589423	1.3537612044414749	-0.2201500833551739
ATG5	5.943499158072228	5.930440121661409	5.919980770687722	5.662281191746777
CRYBG1	7.216311096232093	6.659753744219766	7.283573414084046	6.644126968192995
RTN4IP1	3.1819349250331053	3.250725775915134	3.1349962883124087	3.1730982020132066
QRSL1	4.586013839313809	4.8158299132282805	4.52984366191546	4.490957070175966
CB2H6orf203	3.175209160075908	3.6699442245200946	3.6012168974972116	3.4596751809616952
BEND3	-0.3961028732633172	-0.8914469775569527	0.39755340920893917	-1.8597543552574969
PDSS2	3.1819349250331053	3.562065261008516	3.0295356005969807	3.254665825973966
SOBP	2.0484770163889046	2.07287471659389	2.141933318357116	2.5821855198590296
SEC63	5.746607562318413	5.80787324108676	5.668386187397123	5.7080471862292645
OSTM1	7.421341478702545	7.676258520127133	7.460185368410573	7.511804916029032
NR2E1	-0.24412488499845436	-0.531336340987411	1.7155890547813981	-1.3506557696413646
SNX3	8.48764746683911	8.692857466604867	8.62603220137294	8.47144798217731
AFG1L	3.7556632726481873	4.800086431088292	4.140482360043972	4.037673854138191
FOXO3	6.046592437249366	6.3901737361913336	6.017306516782193	6.245733692115533
ARMC2	1.9415653599838285	2.648600402560029	1.6832266320171976	2.449905817678342
SESN1	4.1202325510688365	4.194304944556102	3.566151748107496	4.553179238104914
CEP57L1	3.4449658272860955	3.4199375222085044	3.4216041556636476	3.0566309903373097
CD164	8.518197811625729	8.757079843655712	8.400603025758198	8.832056594278525
SMPD2	3.6577378439354127	3.9052052095216965	3.4507345723278102	3.5341624983226656
MICAL1	6.40167001609726	6.280987178808882	6.320589736068834	6.305437257212208
ZBTB24	4.257098271060602	4.28758218834172	4.361101835795777	4.192886061886722
