gene_id	logFC	logCPM	LR	PValue	FDR
AIFM3	5.65358558756443	3.16452463519064	156.476228491624	6.66196159144869e-36	7.15352816440261e-35
RBPMS2	5.65508910119394	3.57332007888938	158.58070682063	2.31076184084636e-36	2.51516324685019e-35
LOC111557072	5.66031157501551	1.35386913414226	54.2329805024483	1.78072832762568e-13	6.67040571243892e-13
AVPR1A	5.67133526238582	-0.616901509716841	33.0943789587884	8.77921573905473e-09	2.26626928238842e-08
LOC109497966	5.68017271842098	1.13667591284727	77.6336408210477	1.24039402429363e-18	6.40080271279759e-18
NUGGC	5.68028110957448	2.90767804853939	98.252043434079	3.68380054963194e-23	2.40875509882581e-22
RINL	5.68419578251694	4.03117568594431	137.474410187374	9.49591131240081e-32	8.66651470579078e-31
LOC109496470	5.68745585261258	0.0335656091941603	53.5595641399025	2.50870128724403e-13	9.30395939340492e-13
LOC111560096	5.69108966929579	2.39491926479212	112.685384700756	2.52879613439852e-26	1.89007347099626e-25
BANK1	5.69714352888264	6.37269972331394	207.86523991184	4.01440359611028e-47	6.06346173497795e-46
LIME1	5.70378375844643	2.96886640410468	162.764447761183	2.81631406475617e-37	3.17158760578725e-36
LOC111559812	5.70416462414585	0.515733647340557	69.5436202117087	7.47431262322244e-17	3.48254887868566e-16
SUSD1	5.70492989150768	8.09578654697809	472.193387656191	1.06776053866398e-104	5.92848926258207e-103
LOC101094376	5.70961937495856	4.56013723439191	60.0547103180166	9.22569518055978e-15	3.78505285021164e-14
LOC109494490	5.70987383062818	0.881145758992881	68.334166023331	1.38008973718567e-16	6.34498844837095e-16
LOC109496868	5.71334639094537	-0.0973321559849697	26.6520989960528	2.43586024302844e-07	5.53636185603454e-07
ALOX5	5.71335890175636	1.36863028911223	93.3262622437563	4.4346851427169e-22	2.73795845599356e-21
MCOLN2	5.71498621818702	5.11174602152978	145.287718858248	1.8580563551666e-33	1.8142235306115e-32
LOC111561842	5.71521159500143	-0.637587218062869	32.1876588263808	1.39977053477531e-08	3.5591740021772e-08
MYB	5.71902618971982	2.19389311619859	116.624521610088	3.46900400340215e-27	2.67952393573501e-26
JCHAIN	5.72000057878217	7.72312784482992	213.496957173244	2.37114496846159e-48	3.67193343755447e-47
HDC	5.72772834250861	-0.600775100890736	22.1970898966549	2.46046448486056e-06	5.0885790481834e-06
E2F8	5.72925580429743	0.024319709276448	39.0853745831291	4.05671621857846e-10	1.17087072890867e-09
LOC109495494	5.73528535040496	-0.556885389433424	44.5040661945107	2.5382947371976e-11	8.06856705311065e-11
SLC16A13	5.73603929949233	5.87533121046614	272.948542432696	2.58404430286319e-61	5.48292223250664e-60
LOC109493343	5.73859762395943	3.66798428472936	141.097377688058	1.53196577573754e-32	1.44620110405081e-31
RMI2	5.74259515230019	2.07806946378663	75.2591456248057	4.12813727480526e-18	2.07382936551141e-17
LMNTD2	5.74356755215546	0.885087127325478	66.7089039881988	3.147103757661e-16	1.40828695249447e-15
LOC101085539	5.75444948468671	0.0920741131867031	50.1672339327511	1.41185705792632e-12	4.94243018850085e-12
PTGER3	5.75493388498446	3.49523738868957	65.6800770332229	5.30393315123139e-16	2.34837940441434e-15
NOS2	5.75893418949798	1.17048515660428	83.6567243406199	5.8859702882908e-20	3.26009511796711e-19
LOC102901930	5.76145522588296	0.581742481157948	41.9634913195918	9.29935510497421e-11	2.82526641749789e-10
LOC109502074	5.76179587944372	2.89934798065831	113.231018736201	1.9204357477444e-26	1.44281676757694e-25
LOC109499615	5.76614444526474	3.06103796023452	174.500943594891	7.69464580293477e-40	9.32427230948788e-39
LOC109495826	5.76653622470892	-0.532143423505965	44.9918659889314	1.97854582981471e-11	6.33349292850491e-11
CLEC6A	5.76799883063616	1.74968687228368	66.5739964917177	3.3700251438188e-16	1.50550464442816e-15
ITPRIPL1	5.7734466345682	3.29155135815529	206.677219228778	7.2917093168999e-47	1.08693534111132e-45
TMC6	5.77402836149244	6.65669570376961	213.680618188627	2.16217883655386e-48	3.35158752533909e-47
DNAH14	5.78090743522333	2.74678650102207	116.162711301705	4.37857705653802e-27	3.3706582316876e-26
TNFRSF4	5.78572581828835	0.173976135208481	60.9458065996895	5.86677656803602e-15	2.43329215543087e-14
